Meanless,Time1,Time2,Sentence1,Sentence2,word1,word2,category1,category2,continuous1,continuous2
83205,2021-01-24 01:05:11,2021-01-24 01:12:11,강아지 강아지 사과,tree board time,컴퓨터,fact,2.0,11.0,0.2930700668066224,956.0
85336,2024-07-19 14:00:48,2024-07-19 14:20:48,사과 바다 사과,minute drive lot,컴퓨터,do,1.0,11.0,-0.6904853789365302,552.0
24697,2020-03-16 00:35:18,2020-03-16 01:12:18,강아지 바다 자동차,nature field skill,컴퓨터,well,0.0,11.0,-0.47855335051360925,785.0
24235,2023-07-27 00:40:55,2023-07-27 01:55:55,바다 자동차 하늘,difficult sister cut,사과,light,0.0,22.0,0.6271445033425203,559.0
14139,2024-01-16 05:24:07,2024-01-16 07:19:07,바다 바다 사과,mean wear once,컴퓨터,third,0.0,33.0,0.4878483066576098,645.0
67549,2020-12-07 12:57:21,2020-12-07 13:01:21,바다 강아지 자동차,true part church,바다,modern,0.0,22.0,-0.3148997210739979,425.0
48897,2023-05-26 09:12:46,2023-05-26 09:27:46,하늘 강아지 하늘,coach Mrs campaign,바나나,price,1.0,33.0,0.30628212946414735,808.0
17660,2022-01-27 13:36:09,2022-01-27 14:13:09,바다 사과 바다,message how general,컴퓨터,ground,1.0,44.0,0.9321610094332682,432.0
28300,2019-11-02 21:26:30,2019-11-02 21:34:30,바나나 바나나 바나나,live husband part,하늘,,1.0,11.0,0.22497584750238686,294.0
92004,2023-04-13 09:09:33,2023-04-13 09:45:33,자동차 컴퓨터 바다,western young some,바다,itself,1.0,22.0,0.47628810134459587,832.0
71243,2023-01-03 05:43:31,2023-01-03 06:58:31,바나나 하늘 컴퓨터,Democrat company amount,바다,for,0.0,11.0,-0.6650163383492522,512.0
70083,2020-07-27 09:03:13,2020-07-27 09:05:13,바나나 하늘 바다,side ever off,하늘,use,0.0,11.0,-0.9355606300380666,167.0
56128,2020-09-02 02:49:45,2020-09-02 04:39:45,자동차 강아지 사과,before letter a,바나나,different,,22.0,0.44059883997165294,901.0
81776,2019-08-14 08:06:01,2019-08-14 08:38:01,하늘 하늘 컴퓨터,magazine staff choice,사과,run,2.0,11.0,0.35585009234589293,340.0
16201,2020-05-27 20:01:27,2020-05-27 21:51:27,자동차 컴퓨터 사과,summer whether position,자동차,thing,1.0,,-0.05284265730519522,290.0
72938,2020-09-05 13:50:02,2020-09-05 15:02:02,컴퓨터 강아지 바나나,general until new,사과,almost,1.0,33.0,-0.700034178059415,887.0
27201,2021-10-26 15:42:29,2021-10-26 17:03:29,바다 바다 바다,usually land hair,바다,process,1.0,11.0,0.04556068320723794,948.0
63770,2022-03-08 06:40:25,2022-03-08 07:27:25,바다 강아지 자동차,society view week,자동차,within,0.0,22.0,,640.0
15088,2022-01-09 00:06:13,2022-01-09 00:39:13,자동차 바다 바다,level leader him,자동차,per,1.0,11.0,-0.8005639215038716,232.0
44982,2023-02-22 22:46:40,2023-02-22 23:35:40,강아지 자동차 바나나,prevent bar other,바다,seek,1.0,22.0,0.9685871541064637,237.0
48636,2024-05-04 21:19:17,2024-05-04 22:58:17,강아지 하늘 컴퓨터,despite difference interview,사과,big,2.0,33.0,-0.6508900729963185,250.0
15735,2021-11-30 00:01:27,2021-11-30 01:25:27,사과 사과 강아지,accept product suddenly,사과,similar,0.0,22.0,0.12080095122190437,679.0
39883,2020-07-10 12:02:50,2020-07-10 13:28:50,,determine surface focus,바다,surface,0.0,22.0,0.5372892087818348,577.0
97993,2020-03-05 08:10:11,2020-03-05 09:58:11,사과 바다 강아지,pick story upon,바다,person,0.0,44.0,-0.6588814294347816,255.0
43601,2020-09-16 13:13:43,2020-09-16 15:10:43,하늘 바다 하늘,field between hotel,컴퓨터,approach,0.0,11.0,0.8343585012373076,299.0
62108,2023-11-22 23:11:04,2023-11-22 23:14:04,바다 바다 바나나,politics eat loss,바나나,Mr,1.0,11.0,-0.8243893957280435,215.0
17751,2024-01-25 05:18:52,2024-01-25 06:51:52,바다 강아지 하늘,assume feel prepare,자동차,threat,1.0,44.0,0.13009708856295532,491.0
76938,2023-02-22 01:56:13,2023-02-22 02:45:13,바다 자동차 컴퓨터,miss most age,하늘,follow,2.0,33.0,0.9383724639617002,334.0
42906,2020-03-20 07:03:32,2020-03-20 08:22:32,강아지 컴퓨터 바다,gun avoid science,바나나,walk,2.0,33.0,0.5599547735201533,354.0
89831,2019-08-05 01:12:21,2019-08-05 02:03:21,바다 바나나 강아지,window law management,하늘,senior,1.0,33.0,0.8271982969747977,922.0
69679,2024-01-26 11:02:31,2024-01-26 12:57:31,바나나 사과 바다,still hour remember,바나나,seven,1.0,44.0,0.8317209910550358,908.0
18474,2022-08-05 10:25:01,2022-08-05 11:34:01,하늘 바나나 바나나,these make star,바다,new,0.0,22.0,0.576558452127375,606.0
50773,2023-10-08 05:21:12,2023-10-08 06:41:12,자동차 자동차 강아지,then make site,컴퓨터,although,0.0,11.0,0.7694169790596295,386.0
16566,2019-08-24 02:43:31,2019-08-24 03:38:31,하늘 바다 사과,because similar yeah,하늘,above,0.0,22.0,0.8809893362152974,775.0
55952,2020-09-11 11:39:31,2020-09-11 11:56:31,자동차 컴퓨터 하늘,culture meet avoid,자동차,hotel,2.0,33.0,-0.4606502025290009,651.0
11748,2022-12-28 17:46:24,2022-12-28 18:40:24,자동차 사과 바나나,during population seek,자동차,pick,2.0,33.0,0.33853894447678945,979.0
31206,2020-02-16 15:54:31,2020-02-16 17:34:31,사과 하늘 바다,agree sit water,하늘,role,1.0,22.0,-0.7015006796631795,646.0
46298,2021-08-16 16:27:01,2021-08-16 18:17:01,강아지 자동차 하늘,which environmental nice,하늘,third,1.0,33.0,-0.48476779958426985,372.0
93305,2021-09-29 18:21:51,2021-09-29 20:13:51,하늘 바다 바다,prove federal wind,바나나,pretty,2.0,44.0,-0.9108410588674811,821.0
67770,2023-09-08 04:15:24,2023-09-08 05:21:24,바다 사과 바다,gun peace whom,사과,read,1.0,22.0,0.8043835271652873,497.0
33855,2024-06-29 01:06:09,2024-06-29 01:42:09,바다 강아지 자동차,ago near population,사과,new,0.0,11.0,,874.0
26122,2021-12-25 05:58:50,2021-12-25 07:36:50,강아지 하늘 바다,television court customer,컴퓨터,these,0.0,22.0,0.810109316115023,778.0
44303,2024-01-24 20:28:59,2024-01-24 21:12:59,자동차 강아지 바나나,art final foot,강아지,opportunity,1.0,44.0,-0.8447407083005323,509.0
14965,2019-10-07 08:43:31,2019-10-07 08:52:31,사과 강아지 바나나,enjoy month hair,강아지,section,1.0,22.0,-0.2184914903358972,805.0
65204,2020-09-13 02:10:33,2020-09-13 02:46:33,바다 강아지 하늘,control true mention,바나나,politics,0.0,44.0,0.7484748723288008,658.0
72996,2024-06-03 14:22:12,2024-06-03 16:07:12,하늘 컴퓨터 사과,score live during,하늘,seat,2.0,44.0,-0.5278853305817581,228.0
72588,2022-05-06 08:46:42,2022-05-06 09:20:42,강아지 강아지 컴퓨터,several space wait,바다,everyone,2.0,11.0,-0.11634760948281087,656.0
11927,2020-10-18 04:21:40,2020-10-18 06:17:40,바나나 바나나 바나나,section commercial above,컴퓨터,off,2.0,33.0,0.14443136723888506,539.0
74858,2022-10-15 02:37:23,2022-10-15 03:38:23,컴퓨터 컴퓨터 바나나,area if partner,사과,leave,0.0,,-0.34778015742428514,434.0
58611,2024-07-18 07:36:24,2024-07-18 08:25:24,바나나 하늘 바다,me key director,강아지,adult,1.0,11.0,0.13119326662153696,771.0
23778,2021-09-08 15:04:01,2021-09-08 16:23:01,컴퓨터 바다 하늘,space speak entire,하늘,me,1.0,22.0,0.6578359802996443,459.0
88886,2021-01-16 07:53:38,2021-01-16 08:05:38,하늘 바다 자동차,catch myself specific,컴퓨터,recently,1.0,,-0.3377223756715557,865.0
87681,2020-10-23 23:02:55,2020-10-24 00:49:55,바다 컴퓨터 바다,think early process,바다,movie,1.0,22.0,0.3176364474574971,600.0
22293,2020-01-02 13:39:46,2020-01-02 15:06:46,하늘 컴퓨터 강아지,better believe relate,사과,establish,1.0,33.0,0.6358755160269827,623.0
37966,2021-05-25 21:06:59,2021-05-25 21:25:59,바나나 사과 자동차,international offer sea,자동차,later,1.0,44.0,0.8735309643766207,533.0
93462,2023-06-13 06:40:54,2023-06-13 08:24:54,자동차 하늘 자동차,however list offer,자동차,structure,1.0,44.0,0.10789585123446166,756.0
25194,2020-04-25 10:27:51,2020-04-25 11:04:51,바나나 사과 자동차,simply break speak,사과,former,1.0,11.0,0.09831580621509417,666.0
52419,2019-08-26 00:18:35,2019-08-26 01:28:35,바나나 바다 컴퓨터,leader success you,바나나,knowledge,0.0,33.0,-0.8115923558527367,126.0
49005,2024-07-02 23:58:12,2024-07-03 00:17:12,강아지 하늘 바다,live than station,바나나,girl,2.0,33.0,0.4844167464081315,493.0
18101,2022-07-30 20:34:28,2022-07-30 22:33:28,강아지 사과 강아지,paper door kind,사과,serve,1.0,22.0,0.7689336257787596,874.0
41113,2019-10-29 13:22:37,2019-10-29 14:36:37,하늘 바다 사과,audience plant worry,바다,adult,2.0,33.0,0.556498178631385,894.0
43682,2020-12-04 11:27:15,2020-12-04 11:37:15,바나나 자동차 컴퓨터,rich home office,하늘,agency,2.0,11.0,-0.20295556672728043,551.0
88844,2023-01-21 14:50:14,2023-01-21 16:30:14,강아지 강아지 자동차,understand certain young,사과,little,0.0,11.0,-0.9185775351129619,176.0
