Meanless,Time1,Time2,Sentence1,Sentence2,word1,word2,category1,category2,continuous1,continuous2
11095,2021-04-25 17:46:59,2021-04-25 19:28:59,하늘 컴퓨터 바나나,tree board time,T,bbb,0.0,44.0,0.22163592992905157,145.0
13490,2020-01-03 12:41:06,2020-01-03 13:52:06,강아지 바다 바다,minute drive lot,T,ddd,0.0,22.0,-0.7384451287671145,856.0
98641,2021-06-15 12:32:33,2021-06-15 12:38:33,바나나 강아지 강아지,nature field skill,T,ddd,1.0,33.0,0.04747927215559855,917.0
42939,2020-04-27 18:47:04,2020-04-27 19:32:04,컴퓨터 컴퓨터 컴퓨터,difficult sister cut,T,aaa,0.0,22.0,0.535961613933922,681.0
88368,2022-07-25 19:10:49,2022-07-25 19:20:49,강아지 컴퓨터 하늘,mean wear once,T,aaa,2.0,44.0,-0.6163616517067352,978.0
20577,2021-07-15 10:34:28,2021-07-15 11:27:28,컴퓨터 컴퓨터 하늘,true part church,T,ddd,2.0,22.0,-0.7586220103651586,976.0
85895,2022-12-06 14:39:31,2022-12-06 16:24:31,강아지 바나나 컴퓨터,coach Mrs campaign,T,ccc,2.0,11.0,-0.3201676349013849,129.0
80324,2022-06-06 05:18:27,2022-06-06 06:11:27,컴퓨터 바다 자동차,message how general,T,eee,0.0,33.0,-0.48672949831005385,353.0
48436,2021-01-15 17:34:55,2021-01-15 19:10:55,바다 바다 컴퓨터,live husband part,T,ccc,0.0,11.0,0.8602264257626353,392.0
36717,2023-07-02 23:49:14,2023-07-03 01:05:14,하늘 컴퓨터 자동차,western young some,F,eee,0.0,11.0,0.9587648946862766,838.0
86150,2020-04-23 05:06:01,2020-04-23 07:03:01,강아지 바다 강아지,Democrat company amount,F,bbb,0.0,11.0,-0.6712770279601394,181.0
14366,2022-05-05 22:04:13,2022-05-05 23:50:13,강아지 강아지 자동차,side ever off,F,ccc,1.0,22.0,0.3857512805116632,376.0
97782,2022-08-18 01:15:47,2022-08-18 03:10:47,강아지 하늘 자동차,before letter a,T,ccc,0.0,44.0,-0.639648622565256,799.0
44081,2022-08-08 17:29:16,2022-08-08 19:10:16,하늘 강아지 사과,magazine staff choice,F,eee,1.0,11.0,-0.39417428273865407,517.0
49124,2024-06-17 03:31:20,2024-06-17 03:47:20,강아지 자동차 강아지,summer whether position,F,eee,1.0,33.0,-0.09805515218297889,398.0
17328,2021-02-27 09:09:33,2021-02-27 09:57:33,자동차 컴퓨터 컴퓨터,general until new,F,ddd,2.0,33.0,-0.7739753828558229,576.0
49689,2023-06-16 23:04:32,2023-06-16 23:12:32,강아지 바다 바다,usually land hair,T,bbb,1.0,33.0,-0.7714898810669173,593.0
18975,2023-09-21 08:02:57,2023-09-21 08:24:57,컴퓨터 컴퓨터 바다,society view week,F,bbb,2.0,44.0,-0.12282602939901732,999.0
91574,2023-08-06 08:52:36,2023-08-06 10:29:36,컴퓨터 컴퓨터 바나나,level leader him,T,eee,1.0,44.0,0.7391344553304888,621.0
91761,2023-12-03 21:59:10,2023-12-03 23:40:10,컴퓨터 하늘 사과,prevent bar other,T,bbb,0.0,33.0,-0.3634305077840905,333.0
20938,2022-08-27 20:18:11,2022-08-27 20:40:11,바다 강아지 하늘,despite difference interview,T,ccc,1.0,33.0,-0.5964780343513665,101.0
82689,2023-03-29 11:25:24,2023-03-29 12:30:24,컴퓨터 강아지 사과,accept product suddenly,T,ddd,2.0,22.0,-0.326030252670773,200.0
10634,2021-08-06 02:25:39,2021-08-06 03:20:39,컴퓨터 강아지 강아지,determine surface focus,F,ccc,1.0,44.0,0.8064974999380248,247.0
99025,2020-10-09 06:02:54,2020-10-09 06:06:54,컴퓨터 컴퓨터 사과,pick story upon,F,aaa,1.0,11.0,-0.6838816935706273,555.0
12430,2022-12-01 01:55:37,2022-12-01 02:01:37,바다 바다 컴퓨터,field between hotel,T,ddd,0.0,44.0,0.2960298073910679,767.0
73078,2020-09-17 07:39:22,2020-09-17 09:33:22,하늘 사과 하늘,politics eat loss,T,ddd,2.0,22.0,0.7505753208756423,905.0
81462,2020-01-04 04:21:52,2020-01-04 06:06:52,컴퓨터 자동차 강아지,assume feel prepare,T,eee,0.0,44.0,-0.5643157655009414,379.0
84384,2021-08-24 20:17:56,2021-08-24 21:07:56,바나나 컴퓨터 바다,miss most age,F,aaa,0.0,44.0,-0.049253441290324274,138.0
97249,2020-10-25 13:27:43,2020-10-25 15:22:43,하늘 컴퓨터 사과,gun avoid science,T,bbb,1.0,44.0,-0.6817219147520324,
87334,2019-12-22 17:10:57,2019-12-22 17:19:57,컴퓨터 사과 바나나,window law management,T,ccc,2.0,22.0,-0.39514770433703617,943.0
18567,2023-10-14 02:42:10,2023-10-14 04:36:10,컴퓨터 사과 컴퓨터,,F,ccc,0.0,33.0,0.26357185466212996,796.0
34201,2020-12-14 03:58:33,2020-12-14 05:16:33,강아지 사과 바나나,these make star,F,eee,0.0,11.0,0.5413230581029671,985.0
92728,2024-06-28 10:59:09,2024-06-28 12:54:09,강아지 하늘 사과,then make site,F,eee,0.0,44.0,-0.15978349128323788,443.0
42432,2024-03-02 19:57:41,2024-03-02 21:12:41,강아지 사과 하늘,because similar yeah,F,ddd,2.0,11.0,-0.1703645854321807,640.0
37329,2024-03-08 03:10:03,2024-03-08 04:13:03,하늘 사과 사과,culture meet avoid,T,ccc,0.0,44.0,-0.9257822469846693,427.0
36443,2023-01-13 23:45:50,2023-01-14 01:05:50,컴퓨터 강아지 자동차,during population seek,F,aaa,,11.0,0.9491415904683171,938.0
91390,2023-10-02 00:07:34,2023-10-02 01:12:34,바다 컴퓨터 컴퓨터,agree sit water,F,eee,2.0,22.0,0.4298442727429559,876.0
18857,2022-06-24 11:01:35,2022-06-24 11:34:35,바다 하늘 자동차,which environmental nice,F,ccc,0.0,22.0,0.8098778358975323,287.0
13066,2023-05-11 19:28:03,2023-05-11 20:35:03,사과 자동차 하늘,prove federal wind,F,ddd,0.0,11.0,0.03626800898573501,396.0
84767,2023-05-22 10:42:10,2023-05-22 12:37:10,바다 컴퓨터 바나나,gun peace whom,T,ccc,0.0,33.0,0.8472828519629765,862.0
87888,2020-12-02 15:13:55,2020-12-02 17:06:55,자동차 자동차 바다,ago near population,F,ccc,1.0,44.0,0.23884401705959868,662.0
75270,2019-07-24 11:53:18,2019-07-24 13:41:18,바나나 하늘 바나나,television court customer,F,eee,2.0,11.0,-0.6280050762792755,320.0
16622,2022-09-17 17:29:57,2022-09-17 18:08:57,컴퓨터 컴퓨터 자동차,art final foot,F,bbb,0.0,11.0,-0.4576210496513444,391.0
23701,2022-03-11 15:39:18,2022-03-11 17:10:18,자동차 바나나 바나나,enjoy month hair,F,aaa,1.0,22.0,-0.42192340512907833,401.0
93857,2023-08-16 17:36:25,2023-08-16 19:11:25,자동차 사과 바다,control true mention,F,eee,1.0,22.0,0.8990333215982558,342.0
99301,2023-01-09 05:18:02,2023-01-09 06:13:02,바다 사과 하늘,score live during,F,bbb,2.0,11.0,0.5479516212468218,282.0
27927,2024-07-21 13:40:39,2024-07-21 15:27:39,강아지 사과 바나나,several space wait,F,aaa,0.0,11.0,0.4322938469457811,629.0
65472,2021-11-27 13:41:58,2021-11-27 13:47:58,바나나 자동차 사과,section commercial above,T,aaa,2.0,44.0,-0.6412257047756607,222.0
23010,2023-04-24 09:26:31,2023-04-24 11:13:31,하늘 강아지 강아지,area if partner,T,ddd,2.0,22.0,-0.8589618887987647,441.0
